Damage,Time
40,5.666667
40,19.33333
40,20.33333
80,27.00001
40,29.33335
40,33.66668
40,38.66666
80,45.66664
120,49.66662
40,49.66662
40,50.33329
120,50.99995
40,62.9999
80,66.33325
120,72.66663
80,75.33332
40,77.33334
80,79.66669
40,85.66673
120,88.00008
80,88.66676
40,95.66681
40,96.66682
80,96.66682
40,99.66684
40,100.0002
40,107.6669
160,107.6669
80,113.6669
120,117.3336
80,118.3336
120,119.0003
40,125.3337
80,131.667
40,134.6669
40,135.6669
120,137.3336
80,137.6669
80,138.0002
80,138.6669
160,148.0001
160,151
80,152.6667
120,156.3333
160,161.9999
120,166.6665
120,167.9998
200,169.9997
80,172.9997
200,174.333
40,179.9996
80,180.3329
80,182.6662
160,182.6662
80,185.9995
120,191.9994
120,198.9993
120,207.6658
120,208.6658
240,214.9991
200,220.3323
160,220.6656
200,220.999
160,226.6655
160,230.3322
120,237.9987
160,237.9987
200,238.6654
80,238.6654
240,241.332
160,243.6653
120,248.6652
120,250.3318
120,250.9985
160,251.3318
160,251.9985
120,255.9984
200,256.3318
160,257.9985
160,263.6653
200,267.6654
240,274.3323
160,274.6656
200,276.9991
160,277.6657
240,280.6658
200,285.3326
240,292.6662
240,294.3329
240,295.9996
280,296.333
200,296.9997
280,297.9997
280,303.6665
200,303.9999
160,314.3335
320,318.667
280,319.0003
200,319.667
200,323.0005
280,323.3338
320,330.0007
320,330.334
240,333.0008
200,338.6676
200,346.6678
360,350.3346
200,354.0014
400,360.0016
200,362.335
240,369.3352
160,371.3353
280,371.3353
240,371.6686
280,372.6686
200,373.3353
320,373.3353
280,375.6687
240,376.3354
160,380.0022
320,380.0022
360,382.6689
240,384.3357
240,385.3357
80,386.0024
280,390.3358
240,392.0026
360,392.0026
280,392.0026
320,393.3359
400,397.0027
240,397.6694
320,399.3361
320,403.6696
360,403.6696
360,404.6696
280,405.6696
240,406.6697
320,407.6697
440,411.3365
200,411.3365
360,411.6698
480,413.3365
360,413.6699
240,423.3369
360,424.0035
280,426.0036
240,426.0036
280,427.6703
440,431.6704
280,434.3372
320,435.3372
240,438.004
480,445.6709
400,445.6709
120,448.3376
320,448.3376
400,455.0045
400,456.0045
440,457.6712
280,458.3379
320,459.338
280,460.0046
360,471.3383
280,471.6717
280,476.3385
520,480.0052
320,480.3386
320,483.672
440,484.6721
400,486.0054
480,486.6721
320,487.3388
320,490.0056
360,490.6722
320,491.3389
400,493.0056
440,493.6723
360,493.6723
520,494.6724
320,496.0057
480,497.6725
360,498.0058
360,499.3392
520,499.6725
400,502.0059
400,503.3393
440,505.006
360,506.3394
360,509.0061
280,509.0061
560,510.6729
480,511.6729
440,512.3395
360,514.0061
320,514.3394
520,517.0059
560,517.3392
440,520.3391
400,523.0056
360,525.0054
600,526.0054
600,526.0054
400,535.3381
360,535.3381
400,535.3381
640,537.6713
360,541.6711
400,542.3377
640,544.0043
440,544.3376
480,547.6707
680,548.004
400,550.3372
440,551.6705
480,552.6704
440,554.337
480,555.0036
480,557.6701
440,558.3367
400,561.3365
680,562.6698
520,565.6696
440,567.6695
400,570.0027
520,570.6693
