Damage,Time
40,16.49813
40,28.14119
40,28.47016
40,29.84271
40,30.10316
40,30.35117
40,30.85647
40,30.85647
40,31.13632
40,31.13632
80,32.23784
80,32.51604
80,32.77566
80,33.33044
40,33.33044
40,33.61007
40,33.87291
80,33.87291
80,34.4381
80,35.91367
120,36.62463
80,36.87322
40,37.11147
40,37.35791
80,38.09459
120,40.43473
80,42.69534
40,43.05184
80,46.02128
160,46.37487
120,46.37487
80,46.70274
40,47.38317
120,48.04696
80,48.40624
80,48.75007
120,48.75007
40,49.10926
120,54.13104
80,54.51825
40,55.25595
80,55.25595
40,56.34076
120,56.34076
120,56.34076
120,57.05196
80,57.43566
120,66.04456
200,66.04456
120,66.80638
160,67.50778
120,68.21483
160,68.93638
80,75.50039
120,76.20859
200,76.53957
120,76.89204
160,76.89204
80,76.89204
160,77.23677
120,77.23677
200,77.62225
80,77.99747
160,79.14289
200,84.39968
120,84.72952
200,86.51256
240,87.21448
160,87.21448
200,87.54833
160,88.24368
160,88.64931
160,89.48511
120,90.29276
240,94.2934
120,98.63225
120,109.1036
240,109.8192
280,110.5378
160,111.6154
160,111.6154
320,112.7022
240,113.5024
160,122.0432
240,122.0432
200,122.3989
120,122.3989
200,122.7391
160,130.8452
200,132.4503
240,132.4503
240,142.8136
240,143.9049
200,143.9049
200,144.6402
240,154.7487
160,163.4255
360,163.8061
280,164.52
200,166.7399
200,167.1404
200,173.6295
280,174.3594
280,175.4361
160,176.1497
240,176.8613
240,176.8613
400,177.2421
280,180.6746
160,190.9876
320,192.5779
160,193.7391
280,194.128
440,194.5118
320,195.2154
280,195.2154
200,195.5603
320,195.9327
320,196.6512
160,198.3334
480,198.6824
240,199.02
280,199.6887
200,199.6887
160,206.8385
360,208.3187
240,208.3187
360,208.6467
280,208.6467
320,208.6467
200,209.734
280,211.5301
200,211.5301
240,211.8957
320,211.8957
280,215.1378
320,219.0229
360,219.3841
520,219.3841
240,220.0897
320,220.0897
360,221.48
280,221.8198
360,222.8691
240,222.8691
400,231.4221
320,231.4221
280,231.7867
360,231.7867
320,232.1173
360,234.2283
320,234.5869
200,234.5869
400,234.9329
320,234.9329
440,237.2702
360,241.0791
480,243.0531
360,246.2405
400,246.6254
240,246.6254
280,247.0492
320,249.1629
360,253.5861
400,255.8999
400,256.6326
400,256.6326
440,257.8359
520,259.0085
200,259.7183
400,259.7183
240,261.2007
440,261.5456
360,261.9212
440,261.9212
280,263.4003
400,263.7438
280,264.1148
400,264.1148
440,264.8743
440,264.8743
480,267.7279
480,268.8117
360,268.8117
240,269.1545
320,269.8474
440,269.8474
280,269.8474
400,279.1459
480,280.7018
320,281.4097
360,281.7354
360,282.0917
520,282.0917
320,282.4255
480,282.8016
440,282.8016
280,282.8016
480,283.1489
480,284.2089
320,291.3408
480,292.1448
560,293.6298
280,294.3315
360,294.3315
240,307.1679
600,307.9379
360,308.3179
400,308.6703
400,310.5052
