Damage,Time
40,2.333333
80,9
40,10.66667
40,11.66666
40,12.33333
40,20.66667
40,32.33335
40,34.00002
40,41.99998
40,45.66664
80,46.3333
40,47.3333
40,54.33327
40,55.99993
80,60.33325
80,65.33324
40,72.3333
80,73.99998
80,74.99998
120,75.33332
80,87.33341
40,90.33344
40,93.66679
80,95.00014
80,98.00016
80,99.66684
80,100.0002
40,105.3335
120,108.3336
80,110.6669
120,113.6669
160,115.667
80,121.0003
120,130.3337
120,133.667
120,134.3336
120,136.0003
40,143.3335
120,143.6668
160,145.6668
80,146.0001
160,146.3334
160,146.3334
120,148.0001
200,149.0001
160,150
120,153.3333
200,159.3332
80,164.9998
80,174.9997
160,176.9996
240,179.3329
120,185.3328
120,185.6662
120,185.9995
120,187.6661
120,190.9994
200,192.6661
160,201.3326
160,206.6658
200,219.6656
80,224.3322
280,225.6656
320,230.6655
120,248.6652
40,249.6652
160,251.3318
160,252.3318
160,258.6652
200,258.9985
240,259.3318
200,260.3319
120,261.3319
40,262.9986
80,263.332
160,263.9987
240,265.6654
160,266.6654
280,267.6654
240,272.3322
360,275.6657
160,276.9991
160,279.6658
200,281.6659
240,283.3326
200,283.9993
200,284.9993
240,288.3327
200,288.6661
80,289.9995
120,290.6661
160,292.3329
200,299.9998
280,301.6665
240,301.9998
280,303.9999
240,304.9999
320,313.6668
280,314.3335
200,315.3336
160,315.3336
200,317.3336
400,321.0004
320,327.3339
240,332.3341
240,335.3342
40,338.3343
280,341.001
440,341.6677
200,348.0012
200,348.6679
280,351.3347
360,354.0014
240,355.3348
200,357.3348
240,358.6682
320,359.3349
80,360.0016
480,363.0017
120,365.3351
280,365.3351
320,366.3351
360,368.3352
400,370.6686
280,380.6689
440,381.3356
240,381.3356
480,384.669
200,384.669
280,386.3357
520,387.0024
320,388.0024
280,389.6692
360,390.6692
120,393.3359
400,394.0026
280,395.336
240,395.6693
440,396.0027
560,400.3362
320,400.3362
240,401.0028
320,401.3362
280,410.3365
520,411.3365
320,412.3365
360,419.3367
400,423.3369
360,428.337
160,429.0037
360,430.3371
280,432.0038
360,433.3372
480,436.6706
280,437.6706
320,439.6707
400,442.0041
200,442.6708
160,443.3375
360,449.0043
400,449.671
360,452.0044
320,452.3377
240,453.3378
600,453.6711
240,455.6712
360,456.6712
320,456.6712
320,457.6712
240,458.6713
320,459.338
440,460.0046
560,466.6715
360,468.6716
440,469.6716
160,480.6719
640,481.672
680,483.672
400,486.0054
320,494.339
280,495.0057
600,495.3391
480,498.0058
480,500.0059
280,501.3392
520,504.006
440,504.6727
520,506.6727
400,510.0062
640,511.3395
560,512.3395
600,516.3393
200,516.3393
560,517.6725
520,521.0057
360,521.339
400,526.672
600,527.6719
360,528.6719
440,529.6718
640,529.6718
400,536.0048
560,536.3381
480,537.0047
480,540.6711
360,544.6709
440,544.6709
440,545.6708
720,547.3374
640,547.3374
400,547.6707
680,549.6706
320,550.0039
400,550.3372
520,554.0037
360,557.6701
480,558.3367
440,558.67
240,559.67
280,563.0031
200,563.0031
680,565.003
600,565.003
680,566.0029
720,566.3362
520,569.3361
480,570.336
720,571.3359
560,571.3359
440,571.6693
320,571.6693
760,573.3358
480,573.6691
240,574.3358
400,587.6683
440,588.0016
280,590.0015
520,591.0014
480,594.0012
320,594.3345
600,595.6678
400,595.6678
640,597.6677
520,600.3342
720,603.6673
560,605.0005
400,607.3337
440,609.6669
320,612.0001
440,612.6667
360,614.6666
480,617.3331
360,617.6664
360,618.9997
480,620.6663
520,624.9993
760,625.666
760,626.9992
280,626.9992
800,630.6656
560,631.3323
520,631.3323
680,634.3321
520,634.9987
400,636.6653
720,636.9986
560,637.3319
640,640.3317
560,640.3317
320,640.9984
480,641.9983
800,644.3315
800,644.6648
560,649.6645
600,652.6643
600,652.9976
760,653.3309
400,655.3308
400,656.3307
440,657.9973
760,660.3305
440,661.9971
640,665.3302
600,666.9968
480,669.6633
440,669.9966
800,671.3298
520,671.6631
840,671.9965
840,672.3298
800,673.663
600,673.663
640,673.9963
560,674.3297
840,675.3296
480,677.6628
600,677.6628
840,677.9961
680,678.6627
640,680.6626
840,682.6625
880,684.6624
680,684.6624
720,685.6623
360,687.6622
640,687.9955
680,689.3287
880,689.9954
640,690.9953
480,690.9953
720,692.6619
880,695.6617
920,695.995
440,696.9949
520,697.6616
480,698.9948
560,698.9948
760,700.9947
560,701.6613
760,702.9946
520,703.9945
720,704.9944
920,705.9944
880,706.3277
800,706.9943
600,706.9943
960,707.6609
680,708.6609
520,709.9941
960,710.3275
840,714.9938
880,715.3271
640,715.9938
520,717.327
880,717.6603
720,718.327
520,723.3267
760,723.9933
600,725.9932
1000,726.3265
400,726.6598
560,726.9931
680,729.3263
920,732.6594
760,732.9927
1040,734.326
920,734.326
680,735.6592
720,736.9925
560,737.3258
920,738.9924
640,741.9922
960,742.9921
400,743.3254
600,743.9921
600,744.3254
920,745.6586
960,746.6586
1080,747.6585
1000,748.3251
1120,754.9914
1160,756.9913
640,763.3242
680,763.9908
760,765.3241
800,765.3241
680,765.3241
1000,767.6573
600,770.6571
720,770.9904
560,771.9904
840,772.3237
1000,773.9902
800,773.9902
640,775.9901
440,776.3234
720,776.6567
440,779.6566
600,781.3231
960,781.9897
960,782.9897
560,782.9897
1040,783.9896
640,783.9896
880,784.3229
720,785.3229
640,786.6561
760,787.6561
760,787.6561
920,787.9894
680,788.656
680,788.656
800,789.6559
600,789.6559
1040,790.6559
840,792.3224
1080,792.6558
760,792.6558
480,792.9891
1120,794.6556
720,799.322
720,799.6553
840,801.9885
1200,804.3217
480,806.9882
880,808.6548
760,808.9881
520,808.9881
800,810.3214
800,811.6546
880,813.3212
840,814.3211
800,814.6544
640,815.9877
1000,816.321
760,816.321
840,816.6543
920,817.3209
880,818.6542
920,819.3208
680,819.6541
680,820.9874
1040,821.9873
