Damage,Time
40,1.87899
80,3.378899
120,4.918939
160,6.539901
200,9.678144
240,11.17793
280,12.75756
320,14.85795
360,18.95886
400,20.5393
440,22.09821
480,23.45861
520,54.37921
560,55.85899
600,57.41849
640,58.85957
680,64.2981
720,65.87959
760,67.47856
800,68.95954
840,77.73744
880,79.23885
920,80.73924
960,82.27822
1000,85.49978
1040,86.9994
1080,89.95915
1120,91.45812
1160,94.4584
1200,95.95979
1240,97.51992
1280,98.96021
1320,105.7596
1360,107.2574
1400,110.258
1440,111.7576
1480,116.0978
1520,117.6177
1560,119.178
1600,120.6797
1640,128.0793
1680,129.6594
1720,131.1572
1760,132.6585
1800,140.359
1840,141.878
1880,143.5182
1920,145.0182
1960,167.9199
2000,169.4389
2040,170.9384
2080,172.4398
2120,177.598
2160,178.9593
2200,180.5381
2240,182.0385
2280,185.3779
2320,186.7983
2360,188.2986
2400,189.7979
2440,199.7574
2480,201.1775
2520,202.6385
2560,204.1583
2600,206.8593
2640,208.3986
2680,209.8998
2720,211.3987
2760,216.1578
2800,217.658
