Damage,Time
40,2.018817
40,5.036916
80,5.059122
120,7.159329
160,7.17771
200,7.196633
80,7.778523
120,9.296454
240,9.359788
280,9.397527
320,9.415319
360,9.457838
160,10.97862
400,13.91621
440,13.95749
480,13.97413
520,16.11816
560,16.11816
600,18.85733
640,21.33999
680,21.37682
720,23.93687
760,24.01535
200,28.23858
240,29.75718
800,30.09967
840,30.17686
280,31.1985
320,32.89769
360,37.15736
880,40.07986
920,40.09937
400,41.63202
960,42.41877
1000,42.49802
440,43.2377
480,47.71914
1040,50.55838
1080,52.85589
1120,55.17771
1160,55.21986
1200,55.25858
520,57.37907
560,57.41871
600,57.49889
1240,57.71948
640,58.97923
680,58.99819
720,59.01779
760,60.59774
800,62.17759
840,65.43829
880,65.49824
920,66.95684
960,67.01585
1000,68.59613
1040,68.65668
1280,69.03918
1320,69.05909
1080,70.19806
1120,70.23873
1160,72.49972
1200,74.19936
1240,76.75555
1280,79.81949
1320,81.45878
1360,81.49996
1400,83.19889
1440,83.27928
1480,84.75902
1520,84.81752
1
