Damage,Time
40,1.31719
80,2.79952
120,2.839875
160,2.957868
200,4.458945
240,4.478108
280,4.519606
320,5.998033
360,6.03756
400,7.436695
440,7.496259
480,7.557399
520,8.957104
560,9.019906
600,11.49905
640,11.59945
680,13.03805
720,15.11834
760,17.23711
800,17.35657
840,18.6972
880,18.8395
40,19.0794
920,20.25682
80,21.31965
120,21.39819
160,21.51936
960,21.75967
200,22.89779
240,23.03698
280,23.05978
1000,23.23763
320,24.71871
360,24.75928
400,26.33897
440,26.37988
1040,28.65874
1080,30.27677
1120,31.79977
1160,31.95689
480,32.59682
520,32.65939
560,32.67975
600,32.73858
1200,33.33727
1240,33.41707
1280,33.4379
1320,34.81874
1360,34.91725
1400,34.93819
640,35.57667
1440,36.69847
1480,38.47758
680,39.89676
1520,39.97762
1560,41.65997
1600,41.77817
720,42.2579
760,42.33856
1640,43.15766
1680,43.27759
800,43.8371
1720,44.79913
840,46.69645
880,48.2191
920,49.91949
1760,50.53939
1800,50.55927
1840,52.01848
1880,53.5195
1920,55.01752
960,57.39679
1000,57.53804
1960,58.01967
1040,58.95671
1080,59.07716
2000,59.45828
1120,60.46009
1160,60.59889
1200,62.41705
1240,62.43914
2040,62.43914
1280,64.03986
2080,64.13586
1320,65.79694
2120,67.19749
1360,67.43952
1400,67.45731
2160,68.71718
1440,69.05663
2200,70.21735
1480,71.0763
2240,72.11987
1520,73.53957
1560,73.5564
1600,74.9595
1640,75.03963
1680,75.07858
2280,75.39828
1720,76.59689
1760,76.67596
1800,76.71621
2320,76.99667
2360,78.49762
1840,78.65574
2400,79.93669
2440,79.9767
1880,80.61948
2480,84.39884
2520,84.49973
2560,86.11893
2600,86.19659
1920,86.65609
2640,87.71651
2680,87.79624
1960,88.41879
2720,89.29724
2000,90.2984
2040,90.51822
2080,91.9757
2760,93.25574
2800,93.31761
2120,93.53748
2840,95.15771
2880,95.21684
2920,95.31815
2160,95.41855
2200,95.47659
2240,97.01843
2960,98.45947
2280,98.81735
2320,98.83963
3000,101.8397
2360,101.8988
2400,103.7799
2440,105.359
2480,105.3791
2520,105.3791
3040,105.8183
2560,107.0601
2600,
