Damage,Time
40,1.676592
40,2.077321
80,2.138711
80,3.239854
120,3.337262
120,4.596426
160,4.75913
200,4.879647
240,6.357358
280,6.439022
160,6.819533
200,9.419231
240,9.419231
320,10.69793
360,12.55932
280,14.05891
320,14.09726
400,15.8365
360,16.31661
400,16.33651
440,16.35898
480,18.73633
520,18.77835
440,19.57961
480,19.63632
520,19.67861
560,20.9187
560,21.15992
600,21.19827
600,22.53782
640,22.55804
680,22.57761
720,22.65922
760,22.67639
640,22.81741
680,22.8774
720,22.92979
760,24.71599
800,25.07795
840,25.11653
800,26.83989
880,27.38003
840,28.49814
920,29.59831
960,29.61756
880,30.07985
1000,31.85929
1040,31.85929
1080,34.15868
1120,34.19895
920,36.1738
1160,36.65706
1200,36.6778
1240,40.47667
1280,40.49869
1320,40.51893
960,44.13586
1000,48.21593
1040,49.83945
1080,51.37764
1120,51.51787
1160,56.33902
1200,58.15754
1240,58.19748
1280,59.65664
1320,59.71981
1360,59.75726
1400,61.91809
1440,63.61832
1480,63.69674
1520,67.35408
1560
