Damage,Time
40,1.956277
40,3.219009
80,3.259648
80,4.297232
120,8.076929
120,8.498807
160,8.558129
200,12.21932
240,12.37804
160,15.27868
280,16.63983
200,16.93778
320,19.37782
240,21.4176
280,21.47911
360,22.53919
400,26.13809
320,26.9582
360,29.79941
400,31.69949
440,31.77757
480,33.53795
520,35.21914
560,35.2378
440,37.25764
480,37.31847
520,37.35881
600,37.37741
560,40.87855
600,40.89954
640,44.29976
680,44.39626
640,44.48001
680,44.53984
720,46.0789
760,46.11631
720,47.75978
800,50.43926
840,50.45981
760,50.97805
800,51.07672
880,52.03812
920,52.09689
960,53.61678
1000,53.65872
840,55.55715
1040,56.21723
880,57.25763
1080,57.91843
1120,58.01886
1160,58.01886
920,60.07976
1200,61.62
960,62.05609
1240,63.17842
1280,63.21758
1000,63.65753
1320,64.69928
1360,64.8196
1400,67.91664
1440,67.9949
1040,68.15943
1480,70.33634
1520,70.37961
1080,72.09877
1120,72.1379
1560,73.69912
1600,73.71661
1640,73.77709
1160,73.80002
1200,75.53725
1240,82.
