Damage,Time
40,1.959039
80,1.999002
120,3.539943
160,3.579731
200,5.258085
240,5.278455
280,6.759124
320,6.819292
40,8.819228
360,10.13801
80,10.35966
400,11.63997
120,11.97682
160,12.0579
440,13.35718
200,13.63871
240,13.69922
280,15.37965
480,18.59724
520,20.19688
320,21.21814
560,26.35743
600,28.37921
640,28.39942
360,29.55945
400,29.61859
680,30.25935
720,30.35886
760,31.75832
440,32.11829
480,32.11829
800,33.65981
520,33.9784
840,35.23755
880,36.75715
920,36.83792
960,38.57885
1000,40.39818
1040,40.43968
1080,40.45888
1120,42.05685
1160,42.17716
1200,43.77739
1240,45.37967
1280,45.43703
1320,46.8781
1360,46.93895
560,47.33684
1400,49.51929
1440,51.11809
1480,51.23819
600,51.53755
1520,52.55856
1560,52.63609
1600,54.19818
640,55.317
1640,55.95813
1680,55.99749
680,57.59768
720,57.65907
760,57.73721
1720,57.7998
1760,57.89893
1800,59.45712
1840,59.53593
800,60.65913
840,60.67789
1880,65.23991
1920,65.27815
1960,66.85914
2000,66.93941
8
