Damage,Time
40,23.6189
80,26.55793
120,30.49803
160,32.45784
200,41.23806
240,44.21809
280,45.83879
320,47.85856
360,49.45948
400,51.25953
440,52.85764
480,54.57738
520,56.97948
560,58.85775
600,62.2391
640,63.83737
680,66.29984
720,67.89909
760,69.73973
800,71.33945
840,74.17738
880,76.35704
920,79.39751
960,81.05825
1000,83.49814
1040,85.08006
1080,86.67791
1120,88.27837
1160,106.239
1200,108.44
1240,110.0376
1280,111.6386
1320,116.7989
1360,118.5177
1400,120.7198
1440,122.5397
1480,129.2576
1520,133.279
1560,135.1393
1600,136.7374
1640,141.7383
1680,143.6977
1720,145.279
1760,146.8393
1800,151.0189
1840,154.1387
1880,155.8782
1920,157.5001
1960,160.6001
2000,162.3402
2040,163.9399
2080,168.6584
2120,170.2589
2160,173.6189
2200,175.2179
2240,177.898
2280,179.7202
2320,181.339
2360,182.8997
2400,223.8386
2440,225.858
2480,228.74
2520,230.3581
2560,232.0801
2600,235.1376
2640,236.7328
2680,242.8205
2720,244.8394
2760,246.7003
2800,254.8391