Damage,Time
40,36.25072
40,36.64005
40,38.25121
40,41.05283
40,41.83881
40,44.21947
80,45.71627
80,48.33467
40,48.7302
80,50.73311
40,55.15248
40,57.4668
120,59.07055
40,61.85
40,66.5995
120,71.47565
40,72.28753
80,95.05783
160,97.47161
40,99.46667
120,99.87244
80,101.8903
80,111.4718
200,112.2956
80,112.7048
40,113.4977
80,114.278
40,114.278
80,117.8653
80,120.2505
120,122.3019
120,133.414
80,133.414
120,135.3721
40,136.1699
80,143.9078
80,145.4747
120,153.6674
120,153.6674
80,156.3671
120,161.9872
120,161.9872
40,164.6755
120,170.5519
160,181.4603
40,189.8678
80,190.269
120,191.0982
160,197.8777
120,206.5026
160,213.7877
120,214.9962
160,224.6213
200,235.4041
160,239.8613
80,243.5838
200,249.9572
80,257.348
160,263.3485
240,264.4535
160,266.0695
160,274.5741
240,274.9817
120,288.8547
40,297.2497
280,297.6615
200,305.7714
160,307.4052
200,308.5695
200,319.871
120,323.447
240,323.8403
280,333.585
160,333.9709
200,340.1869
120,341.0165
