Damage,Time
40,28.33335
40,45.66664
40,47.66663
40,63.33324
80,63.66657
120,78.00001
40,83.00005
40,90.33344
80,94.00013
40,94.33347
40,95.00014
40,97.33349
40,99.00017
40,109.6669
40,113.3336
40,116.667
80,121.3337
40,123.3337
40,129.667
80,138.0002
120,145.3335
80,149.3334
80,176.333
80,181.3329
80,185.9995
80,185.9995
40,207.3325
80,208.3325
80,209.3325
120,210.9991
120,211.9991
80,221.3323
40,225.3322
120,226.6655
120,237.6654
80,237.6654
80,258.3318
40,263.6653
160,263.9987
160,265.6654
80,270.6655
160,271.6656
160,272.9989
120,284.9993
200,293.3329
200,302.6665
160,309.3334
240,314.3335
120,323.3338
200,324.3338
120,326.0005
80,332.3341
120,337.6676
120,338.6676
40,338.6676
120,343.0011
120,346.3345
160,350.3346
80,355.0014
80,355.6681
120,371.6686
160,377.3354
80,381.6689
200,382.3356
160,384.3357
120,385.3357
120,386.6691
280,393.0026
200,394.0026
320,405.3363
160,408.0031
240,408.6697
160,415.67
200,417.67
200,421.3368
200,421.6701
200,424.0035
200,426.0036
160,426.3369
120,433.3372
240,440.6707
240,441.3374
160,443.0041
160,446.0042
240,448.0043
200,453.0044
360,456.3379
160,456.6712
280,463.0047
200,463.3381
320,465.6715
200,465.6715
240,468.3382
240,469.3383
240,479.3386
280,481.0053
240,481.3386
240,485.6721
280,487.6721
160,488.6722
160,490.6722
120,495.6724
400,495.6724
200,497.3391
160,498.3391
280,503.006
240,505.006
320,506.3394
240,518.3392
360,519.3391
400,521.339
320,523.6722
240,528.0052
280,530.6718
440,531.6717
200,532.6716
120,539.6712
320,541.3378
280,543.3376
200,543.671
40,544.6709
360,546.0042
360,547.3374
280,547.6707
440,548.3373
160,560.3366
480,562.6698
320,569.0027
200,575.3357
280,576.3356
520,578.0022
400,579.0021
160,580.3354
280,580.6687
240,582.002
240,583.0019
360,588.3349
400,596.6677
280,612.0001
280,612.0001
240,616.6665
320,617.9998
320,619.6663
320,620.9996
440,625.9993
360,627.9991
400,630.6656
360,630.999
320,634.9987
280,635.6653
280,644.6648
200,644.6648
360,645.6647
440,645.998
280,645.998
280,645.998
560,648.3312
360,648.3312
320,648.6646
240,652.6643
360,657.9973
200,658.3306
320,659.9972
400,660.6638
360,662.6637
80,669.33
320,671.9965
400,672.3298
440,676.3295
480,682.3292
520,684.9957
240,686.6622
400,687.6622
360,687.6622
120,692.3286
400,694.9951
240,695.3284
320,696.3283
440,698.3282
440,702.3279
360,710.9941
400,713.3273
440,713.6606
480,715.6605
320,715.6605
440,716.3271
400,719.6602
280,730.6595
560,734.326
480,741.3256
600,742.3255
280,746.3253
640,749.6584
520,749.6584
480,750.9916
320,751.325
680,751.6583
560,751.6583
160,754.3248
480,754.9914
400,755.658
480,755.658
360,757.9912
440,758.3245
360,762.6576
480,764.3242
600,764.3242
280,764.6575
360,768.6572
600,776.3234
440,777.99
200,779.3232
480,779.9899
480,782.3231
320,783.323
400,783.9896
720,784.9896
480,788.9893
520,790.6559
560,794.989
360,796.9888
600,797.6555
400,799.322
240,806.6549
280,808.6548
400,808.9881
760,809.6547
440,810.3214
520,812.3212
440,812.6545
400,817.6542
640,817.9875
520,817.9875
440,819.6541
480,822.3206
520,827.9869
680,828.3203
440,828.9869
520,830.3201
480,832.6533
440,835.3198
480,835.3198
320,841.6528
320,842.3194
560,844.9859
360,846.3192
480,846.3192
400,847.3191
520,848.9857
480,853.3187
440,853.3187
520,859.3184
560,861.9849
600,863.9847
800,864.9847
520,865.9846
520,867.3179
640,868.6511
520,870.9843
560,871.3176
320,873.6508
720,875.6507
840,878.3172
520,882.6503
520,886.3167
400,886.9833
360,887.65
560,893.6496
560,893.6496
520,898.316
560,898.6493
600,905.3156
560,907.3154
600,909.9819
640,911.6485
560,912.3151
560,912.9818
480,913.9817
640,914.315
600,914.315
760,915.6483
880,917.3148
400,917.6481
800,917.6481
560,918.3148
440,919.648
600,920.3146
600,922.9811
680,926.3143
680,928.9808
840,929.9807
480,930.314
640,932.6472
600,933.6472
920,934.6471
560,937.6469
680,940.6467
880,946.313
560,948.9796
360,950.6461
600,952.3127
720,952.646
600,954.3126
640,956.3124
640,959.3123
440,968.9783
520,972.3115
720,972.3115
640,977.9778
520,978.6444
600,980.6443
680,980.9776
640,982.6442
680,984.3107
600,995.9767
680,999.6431
680,1006.643
560,1006.976
720,1009.643
720,1014.976
720,1016.642
720,1018.642
760,1020.642
640,1020.975
600,1022.975
640,1026.309
760,1026.975
640,1027.642
720,1033.976
680,1040.31
600,1044.978
680,1044.978
640,1050.978
560,1052.312
640,1054.312
960,1057.312
720,1057.646
1000,1070.314
760,1073.314
680,1073.648
680,1080.982
800,1082.649
760,1087.316
1040,1091.317
720,1091.983
760,1095.65
400,1096.317
600,1098.651
640,1102.985
840,1105.318
800,1107.652
680,1109.319
440,1111.652
480,1113.986
1080,1114.319
920,1115.653
640,1116.32
680,1131.988
880,1133.655
680,1133.988
760,1133.988
680,1134.322
1120,1134.989
720,1135.989
800,1136.322
800,1137.322
760,1137.989
760,1139.656
480,1141.323
800,1143.323
840,1143.323
520,1147.657
800,1151.324
720,1153.324
840,1155.324
840,1156.991
720,1158.325
800,1163.659
640,1165.326
520,1167.326
720,1168.659
800,1169.659
840,1172.993
920,1174.66
960,1175.66
760,1179.327
960,1185.328
560,1191.329
840,1191.662
760,1192.662
760,1195.329
720,1196.663
840,1197.996
800,1211.665
1160,1217.665
720,1220.666
880,1228
760,1229.333
760,1230
680,1232.334
1000,1233.667
840,1237.001
880,1239.001
880,1242.002
880,1242.668
840,1246.002
1000,1248.336
800,1248.336
760,1249.336
760,1252.003
800,1252.003
800,1254.003
800,1258.337
1040,1258.337
880,1263.671
800,1264.004
1040,1269.338
840,1273.672
840,1278.339
560,1280.673
1080,1283.007
800,1289.007
840,1291.341
880,1298.008
720,1299.675
880,1305.676
600,1306.676
920,1307.676
1200,1313.344
600,1315.677
840,1320.678
920,1320.678
840,1322.345
920,1325.012
1080,1325.345
640,1328.679
880,1331.679
960,1333.346
880,1333.679
920,1335.68
1240,1343.681
960,1343.681
920,1346.014
1280,1346.348
1120,1351.348
960,1351.348
1000,1353.349
840,1357.682
1000,1358.349
1160,1366.683
920,1371.017
920,1375.351
1000,1375.685
640,1379.685
1120,1382.352
1320,1384.352
880,1384.686
960,1389.353
880,1391.02
1360,1394.354
880,1397.354
920,1397.687
1400,1397.687
880,1410.022
960,1411.689
880,1413.022
1000,1414.689
920,1415.689
960,1418.356
920,1420.023
1200,1426.024
1040,1428.024
1440,1430.691
680,1431.358
960,1440.026
1480,1441.026
1040,1443.693
920,1444.36
680,1446.026
1160,1448.693
1200,1451.36
1080,1451.694
920,1453.027
1040,1455.361
720,1458.028
720,1466.362
1080,1475.363
920,1477.364
920,1480.031
960,1483.364
960,1484.031
960,1486.365
760,1489.365
1240,1492.365
1520,1493.699
960,1495.032
760,1496.366
1080,1507.367
1000,1508.034
1240,1511.368
960,1513.035
760,1513.701
1000,1515.035
1120,1516.702
960,1517.369
1000,1518.369
1000,1519.369
1280,1527.036
800,1534.371
800,1534.704
1120,1535.037
1000,1536.037
1040,1536.704
1040,1539.371
1040,1539.705
840,1542.705
960,1550.373
1080,1552.039
1280,1554.706
1120,1554.706
1040,1556.373
1160,1557.04
1560,1557.373
1000,1557.373
840,1560.04
1040,1560.374
1040,1560.707
1080,1564.041
1080,1565.374
1000,1566.375
1320,1568.375
1160,1573.042
800,1574.042
880,1577.709
1120,1583.71
920,1586.044
1000,1587.377
960,1589.377
1200,1590.711
1200,1591.378
1000,1592.711
1080,1597.045
1040,1607.38
1040,1611.38
1160,1623.048
1360,1628.382
880,1628.382
1600,1628.382
1080,1638.717
1000,1640.384
1000,1640.717
1040,1640.717
1120,1640.717
1160,1641.717
1200,1643.051
1240,1649.718
920,1650.718
840,1651.052
1040,1651.718
1040,1653.052
1320,1656.385
1640,1656.719
1200,1661.719
1120,1663.386
960,1666.72
1080,1667.387
1120,1670.054
1120,1670.721
1680,1674.721
1160,1675.054
1240,1676.388
1280,1679.722
1000,1679.722
1200,1682.389
880,1683.055
1240,1686.723
1080,1688.056
1240,1693.39
1080,1693.723
1080,1696.057
1120,1696.39
1720,1698.724
1120,1706.058
1160,1706.058
1280,1706.392
1280,1710.725
1400,1712.392
1760,1712.726
1160,1716.059
920,1717.726
1080,1717.726
1160,1717.726
1120,1725.061
1040,1725.061
1200,1726.394
1080,1727.061
1240,1729.061
1360,1730.395
1800,1731.395
1240,1732.395
1080,1737.395
960,1738.062
1160,1740.062
1320,1744.063
1840,1745.063
1880,1750.064
1120,1756.731
1040,1758.731
1120,1759.731
1280,1766.399
1400,1766.732
1320,1767.066
1200,1767.732
1360,1769.733
1280,1770.733
1400,1772.4
1320,1777.067
1240,1778.4
1000,1778.4
1320,1778.734
1320,1779.067
1280,1781.067
1040,1783.068
1440,1784.401
1200,1791.735
1160,1793.736
1200,1796.403
1080,1798.403
1160,1799.736
1360,1806.07
1080,1807.737
1360,1821.406
1320,1826.073
1160,1830.74
1200,1835.407
1120,1837.408
1480,1842.742
1120,1843.408
1240,1846.075
1520,1848.076
1280,1849.076
1560,1853.41
1320,1855.076
1240,1857.077
1360,1857.743
1200,1870.412
1200,1871.412
1280,1872.078
1160,1874.745
1360,1876.412
1440,1880.746
1240,1884.08
1400,1885.08
1600,1887.747
1240,1889.081
1400,1890.081
1440,1892.081
1440,1895.748
1320,1903.416
1280,1906.749
1200,1907.083
1320,1909.416
1640,1909.416
1160,1911.083
1400,1911.417
1120,1913.75
1200,1914.417
1160,1915.75
1360,1919.084
1440,1922.751
1480,1924.418
1400,1925.085
1440,1929.752
1360,1931.419
1240,1935.753
1480,1936.086
1160,1938.087
1360,1938.42
1400,1949.421
1280,1949.755
1400,1950.421
1400,1954.089
1120,1954.755
1360,1955.089
1200,1957.089
1520,1958.089
1920,1960.756
1240,1961.089
1960,1963.423
2000,1966.757
1480,1972.757
1520,1976.091
1560,1983.425
1280,1984.426
1240,1987.426
1240,1987.759
1280,1993.427
1680,1994.093
1480,1994.427
1280,1994.76
1320,2008.095
1440,2008.762
1320,2009.095
1200,2010.429
1320,2016.429
1400,2020.763
1440,2026.097
1440,2027.764
1240,2028.764
1520,2029.431
1160,2029.764
1360,2029.764
1400,2033.098
1280,2033.765
2040,2035.432
1320,2035.765
1360,2040.432
1280,2046.1
1400,2049.766
1360,2052.432
1600,2052.432
1320,2053.432
1320,2057.764
1440,2058.764
2080,2060.097
1480,2062.763
1480,2063.096
1640,2063.429
1520,2065.762
1520,2067.428
1680,2069.761
1560,2070.094
1600,2072.76
1200,2073.76
1560,2075.093
1440,2076.426
1480,2080.425
1360,2087.424
1480,2087.757
1440,2087.757
1480,2094.755
1720,2098.088
1640,2099.421
1440,2102.753
1400,2109.751
1240,2116.417
1360,2118.749
1360,2119.416
1400,2121.415
1520,2122.082
1520,2124.415
1480,2127.414
1520,2130.08
1440,2132.079
1560,2138.078
1560,2139.078
1600,2139.744
1680,2141.41
1760,2143.743
1480,2144.076
1720,2144.743
1760,2146.742
1520,2148.742
1280,2149.075
1520,2149.075
1720,2150.075
1600,2154.074
1800,2161.739
1480,2165.071
1480,2166.738
1560,2167.737
2120,2170.737
1560,2173.069
1640,2173.403
1600,2182.734
1760,2182.734
1520,2187.732
1520,2188.399
1560,2191.065
1560,2193.064
1440,2194.397
1400,2199.396
1480,2199.729
1520,2203.729
1640,2207.061
1520,2215.392
1560,2219.391
1600,2219.725
1600,2222.724
1560,2226.723
1800,2227.056
1600,2227.056
1600,2235.387
1560,2236.387
1680,2236.72
1600,2237.72
1400,2242.052
