Damage,Time
40,1.098534
80,2.598963
120,4.238073
160,4.299883
40,5.819086
80,5.858234
200,5.877318
240,5.917893
280,7.578621
320,7.65928
120,7.916791
360,9.079292
400,9.159544
160,9.498978
200,9.537631
240,11.09794
280,11.17713
440,12.17926
320,13.17941
360,13.31899
480,14.17708
520,15.69728
560,17.69998
400,17.8564
440,17.89691
480,20.55787
520,20.55787
600,24.49921
560,25.6199
600,25.69908
640,25.99818
640,27.43987
680,27.49717
720,28.99923
760,29.019
800,30.87738
840,30.95762
680,31.83874
720,31.87896
880,32.37941
920,32.47891
960,33.87765
1000,33.97833
760,34.31794
1040,35.73899
1080,35.79744
800,36.71852
1120,38.93687
1160,40.49764
1200,40.55951
1240,40.59753
1280,42.19706
1320,42.25793
840,43.63822
880,43.69731
1360,43.95889
1400,43.99975
1440,44.05933
920,47.87907
960,47.93942
1000,47.97849
1480,49.19688
1040,50.59879
1520,50.77819
1560,52.4375
1600,53.93749
1080,54.45969
1120,54.51967
1160,56.77957
1200,56.81815
1240,58.91825
1280
