Damage,Time
40,7.666668
40,10.66667
40,12.33333
40,13.66666
40,22.66667
40,25.33334
40,25.66668
40,27.33335
40,29.33335
40,33.66668
80,38
40,43.33331
80,43.99998
40,46.3333
40,47.66663
80,49.66662
80,52.66661
40,53.66661
120,60.99991
80,61.99991
40,62.9999
120,63.66657
40,66.66659
80,66.66659
40,66.99992
40,68.6666
40,69.99995
80,70.66662
80,71.33329
40,76.66666
120,77
80,77.33334
40,78.66668
120,80.33336
160,88.33342
40,92.00011
40,107.3336
120,109.6669
80,110.0003
80,116.0003
160,119.0003
80,119.3337
120,121.3337
80,124.0004
120,130.3337
80,140.0002
120,140.6669
160,145.3335
40,147.0001
80,148.0001
80,149.0001
120,152
80,153.3333
120,160.3332
80,160.9999
120,161.3332
160,161.9999
160,166.6665
160,167.6664
200,169.3331
80,171.9997
200,173.9997
200,174.333
160,177.333
120,182.9995
240,183.9995
120,184.6662
120,185.6662
200,188.9995
120,193.9994
160,195.9993
120,197.3327
240,199.666
160,204.6659
80,211.9991
240,217.6657
200,218.6657
120,224.9989
160,229.3322
160,229.9988
80,231.3321
280,233.6654
160,237.332
160,237.6654
80,238.9987
200,239.6653
160,240.332
160,240.9987
120,246.9986
160,252.3318
200,254.9984
120,256.9984
240,257.3318
280,259.3318
200,261.6653
200,266.9987
240,270.6655
120,273.3323
240,275.999
200,278.9991
120,281.9992
320,284.9993
240,287.3327
200,288.9994
240,293.3329
80,297.6664
240,297.9997
280,299.3331
280,299.6664
120,304.6666
240,307.6667
200,308
160,317.0003
200,318.3336
240,320.0004
320,323.0005
280,324.3338
160,325.0005
280,326.0005
240,329.334
280,338.3343
280,340.6677
240,341.3344
360,342.001
40,343.3344
320,347.6679
280,348.3346
320,348.6679
120,355.6681
280,356.3348
360,359.6682
160,361.0016
80,362.0016
320,366.6685
80,367.0018
200,369.6685
200,370.3352
320,371.3353
120,373.3353
320,376.0021
320,376.3354
240,377.3354
360,378.6688
280,382.3356
400,386.3357
200,387.0024
160,388.0024
240,389.6692
360,390.0025
400,391.0025
240,393.6693
360,394.336
200,395.336
400,410.6698
320,413.3365
160,414.3366
280,416.67
120,423.6702
320,424.0035
200,427.0036
320,435.6706
360,436.3372
440,437.6706
360,437.6706
400,438.3373
240,438.6707
200,439.004
400,439.6707
280,444.6708
360,445.3375
160,450.671
480,454.6711
320,457.6712
440,459.338
320,459.338
200,460.6713
160,461.338
360,462.338
360,462.6714
360,463.6714
200,464.6714
440,465.0048
440,470.3383
280,470.6716
200,471.3383
440,473.6717
480,475.6718
240,479.6719
240,481.3386
320,482.672
400,488.3388
480,488.6722
400,489.6722
360,494.0057
200,503.006
400,504.006
280,507.0061
240,507.0061
360,508.0061
160,509.6728
240,518.6725
240,525.0054
280,525.0054
320,536.3381
240,549.3373
280,556.3369
400,556.6702
360,558.67
280,560.3366
320,560.3366
360,566.0029
400,567.3362
280,568.3361
400,569.3361
440,571.6693
440,572.0026
520,575.3357
400,576.3356
480,577.0023
480,579.0021
520,579.0021
320,579.6688
400,581.002
280,583.0019
320,585.0018
360,585.6684
360,586.335
440,587.335
440,588.3349
440,588.6682
320,592.3347
520,592.668
440,593.0013
360,593.6679
280,596.0011
200,598.6676
240,605.0005
320,605.0005
440,605.3339
360,605.6672
560,608.667
520,609.6669
560,613.3334
600,614
520,614
480,615.6666
280,617.3331
400,618.9997
560,619.6663
280,620.6663
400,625.3326
360,625.9993
480,628.6658
480,630.999
440,635.332
480,635.332
400,635.6653
520,636.6653
640,637.9985
680,639.9984
560,641.9983
440,642.3316
320,644.3315
720,645.3314
440,648.3312
440,651.6644
600,653.6642
600,656.9974
320,658.3306
760,659.9972
520,661.6638
360,664.6636
400,670.3299
560,670.9965
520,675.3296
480,675.6629
400,678.6627
480,682.3292
560,682.3292
360,682.9958
440,683.9957
600,685.9956
560,686.3289
440,686.6622
480,686.6622
400,687.3289
480,692.3286
520,694.3284
320,695.3284
480,695.995
600,696.3283
520,697.9949
600,702.3279
160,706.661
640,706.9943
480,715.3271
520,717.6603
480,717.9937
800,721.3268
600,721.3268
520,722.3267
400,722.9933
560,726.3265
560,726.6598
280,726.9931
600,728.3264
640,729.3263
560,732.3261
360,733.326
560,734.6593
440,735.6592
840,735.9926
640,747.6585
640,748.6584
520,750.325
680,750.6583
400,750.6583
600,753.3248
880,754.6581
480,756.9913
480,758.6578
680,758.9911
560,759.6578
200,761.991
480,763.6575
920,764.3242
600,766.324
400,768.6572
440,770.3238
480,772.3237
720,774.6569
640,776.3234
760,776.6567
680,778.6566
320,780.3232
720,781.9897
640,783.6563
520,785.9895
520,786.6561
520,791.6558
800,791.9891
600,792.9891
680,793.6557
400,797.6555
840,798.3221
680,799.6553
720,806.9882
560,808.6548
440,810.3214
360,810.988
560,811.3213
720,811.3213
640,811.3213
440,811.6546
600,812.6545
960,813.3212
240,823.3206
560,823.3206
760,826.3204
680,829.9868
720,835.9865
640,835.9865
520,838.3196
640,841.3195
1000,842.6527
640,842.6527
600,842.986
1040,844.6526
520,847.6524
400,849.6523
640,850.9855
680,851.3188
480,854.3187
760,855.9852
1080,856.6519
520,856.9852
720,860.6516
680,862.6515
480,863.9847
280,864.3181
880,864.3181
760,866.3179
440,866.6512
760,866.6512
600,868.6511
640,871.3176
560,871.9843
800,875.6507
320,883.6502
680,884.9835
600,889.3165
560,891.6497
600,893.3163
600,893.6496
520,894.9828
720,895.3162
760,897.316
440,898.316
560,898.316
1120,898.9826
480,902.3157
640,902.649
680,907.9821
800,909.9819
640,915.6483
640,916.9815
800,919.648
560,920.3146
600,922.9811
680,923.3145
360,924.3144
720,924.3144
680,924.3144
760,924.6477
800,925.3143
520,926.6476
520,927.3142
720,928.6475
680,928.6475
560,928.6475
640,929.3141
840,929.9807
600,929.9807
640,931.9806
720,932.6472
600,934.6471
800,934.9804
560,935.3137
520,936.3137
640,936.647
400,936.647
760,936.9803
680,938.9802
800,940.6467
840,942.3133
800,942.6466
440,943.6465
880,944.6465
840,946.313
680,946.6464
840,947.313
680,949.3129
480,950.3128
840,951.6461
880,954.3126
720,955.3125
760,957.3124
760,957.6457
840,959.3123
720,960.6455
480,960.6455
920,960.9788
720,961.3121
880,963.312
720,964.9786
960,968.3117
600,968.645
920,968.9783
760,970.3116
920,970.6449
520,970.9782
960,971.6448
960,972.6448
680,972.9781
560,972.9781
760,973.6447
1160,974.6447
1000,974.6447
720,976.3112
640,977.9778
1040,979.6443
680,979.9777
640,981.9775
720,983.3108
1080,984.3107
760,984.644
1120,986.3106
680,987.9772
920,988.3105
880,989.9771
720,989.9771
560,991.6436
840,991.9769
960,992.9769
800,993.9768
800,995.6434
760,996.6433
520,997.9766
720,1003.643
720,1005.643
560,1005.976
560,1006.309
840,1007.309
1000,1008.309
600,1009.643
600,1010.642
640,1011.642
1160,1013.642
880,1017.309
800,1017.309
1200,1018.309
880,1019.642
760,1019.975
920,1025.975
800,1026.642
760,1029.309
1240,1031.976
600,1034.976
920,1035.31
640,1036.977
800,1037.31
800,1037.643
760,1037.643
760,1038.31
840,1039.31
600,1039.31
840,1040.31
1200,1044.311
640,1046.644
800,1048.311
840,1048.311
800,1049.978
1280,1050.645
1240,1051.312
680,1052.979
840,1053.645
800,1056.312
840,1057.312
800,1058.313
1280,1058.979
880,1060.979
960,1062.646
1320,1064.313
680,1064.98
680,1065.647
880,1069.981
1000,1070.981
960,1071.647
720,1072.314
1000,1076.648
760,1078.315
840,1078.648
880,1078.982
920,1079.982
720,1080.315
720,1080.649
1360,1080.649
920,1082.315
1000,1082.649
880,1083.649
840,1083.649
760,1084.316
800,1084.649
920,1086.983
920,1087.316
1040,1087.649
840,1090.65
960,1093.317
1320,1095.984
960,1096.317
840,1097.651
1000,1098.651
1360,1099.318
840,1106.318
640,1106.652
1400,1106.985
1000,1106.985
880,1106.985
960,1107.652
960,1108.319
760,1109.319
1040,1110.986
760,1110.986
680,1111.652
880,1112.986
1440,1115.319
1080,1115.986
720,1118.987
880,1119.32
1040,1120.653
920,1121.32
1040,1121.654
1120,1124.321
1480,1124.987
880,1125.654
880,1126.654
1520,1126.988
880,1128.988
680,1129.321
1080,1135.989
920,1136.322
920,1138.322
960,1139.656
1040,1141.989
1040,1143.323
1080,1143.99
880,1145.99
760,1146.323
1080,1146.323
880,1147.323
960,1147.657
1080,1148.657
800,1149.324
720,1149.99
1120,1150.657
920,1151.657
1160,1151.657
760,1153.324
1400,1153.657
1200,1153.657
1000,1157.991
1120,1158.325
840,1158.658
920,1158.991
800,1160.992
1080,1161.325
880,1162.659
960,1164.659
960,1164.992
1160,1166.659
1000,1166.992
800,1167.993
1160,1169.659
1120,1171.993
920,1175.66
960,1175.994
840,1177.66
1000,1177.994
960,1178.327
880,1184.328
920,1185.995
1240,1188.662
840,1188.995
920,1189.995
1000,1190.995
1200,1192.329
920,1193.996
960,1195.996
1000,1197.329
1040,1207.997
1000,1207.997
1040,1208.664
1080,1210.664
1000,1211.331
1120,1211.331
1440,1211.665
960,1213.331
1040,1213.998
1000,1215.332
920,1215.665
1240,1220.332
1040,1221.332
1120,1221.999
1280,1222.333
1200,1228.333
1000,1228.667
880,1230
1080,1230.667
1280,1234.334
1560,1234.667
1040,1235.334
1040,1236.001
1120,1236.001
920,1237.334
1160,1239.001
1080,1239.668
1200,1241.001
800,1241.668
1320,1241.668
1360,1243.668
1040,1243.668
960,1244.335
1000,1246.335
1080,1247.336
1240,1250.669
800,1252.003
1480,1252.003
840,1252.67
1520,1254.003
1040,1254.003
1000,1254.336
880,1255.337
1040,1256.003
840,1259.004
1080,1261.004
1160,1263.004
1120,1263.671
1320,1265.338
880,1265.671
1000,1266.005
1160,1267.005
1280,1270.005
1080,1270.338
1120,1270.672
1160,1271.339
1560,1272.005
1400,1274.005
1040,1274.339
1120,1274.339
1120,1275.672
1600,1276.339
920,1277.339
1200,1277.673
1160,1278.673
1440,1280.673
1080,1281.006
1080,1281.673
1600,1282.006
1120,1283.673
1200,1285.007
1080,1285.007
1640,1286.007
1200,1286.34
1160,1287.007
1080,1287.674
1160,1289.007
960,1290.007
1200,1291.008
1120,1292.674
1240,1293.008
960,1294.008
1240,1294.008
1240,1295.008
1640,1295.008
1040,1295.675
1280,1295.675
1120,1296.675
1320,1299.009
1360,1299.342
1280,1299.342
1480,1299.675
1120,1302.342
1160,1303.342
1200,1306.676
1000,1307.01
1160,1307.343
1320,1308.01
1240,1308.676
1240,1309.01
1400,1311.343
960,1312.677
920,1313.01
1040,1314.677
1320,1315.01
1200,1315.677
1360,1318.011
1000,1318.344
1040,1320.344
1680,1321.011
1080,1322.345
1000,1324.345
1080,1326.345
1040,1326.345
1200,1329.346
1360,1332.346
1120,1332.346
1160,1338.347
1280,1339.013
1200,1339.347
1240,1341.347
1400,1342.347
1280,1343.347
1440,1344.347
1160,1345.348
1080,1346.014
1200,1347.014
