Damage,Time
40,7.666668
40,9.333333
40,16.66666
40,18.66666
40,19
40,24.66668
40,27.00001
80,36.33334
40,42.33332
40,45.66664
40,49.99995
80,56.6666
40,63.66657
80,64.33324
80,70.66662
40,84.33339
40,86.3334
120,86.3334
120,90.0001
40,91.66678
80,92.66679
80,93.00012
120,95.33347
120,95.66681
80,96.66682
40,104.0002
80,106.6669
40,107.6669
120,108.6669
40,115.3336
40,118.0003
40,118.3336
160,123.0004
80,128.3337
120,138.3336
80,141.3335
160,149.0001
160,154.6666
160,155.6666
160,156
120,156
160,158.6666
200,160.6665
120,164.9998
200,170.9997
80,180.6662
240,183.6662
40,190.3328
200,194.3327
80,194.666
200,198.3326
240,210.6658
80,222.6656
80,223.6656
120,225.3322
120,226.9989
80,226.9989
120,227.3322
80,227.6655
160,230.6655
200,248.3319
120,248.9985
240,259.3318
240,259.9985
120,260.9986
280,261.6653
280,264.6653
200,266.9987
160,268.6655
80,271.6656
120,274.6656
80,275.999
120,275.999
160,278.9991
160,280.6658
240,284.3326
200,284.9993
200,287.3327
200,288.6661
240,289.3328
320,292.6662
320,315.6669
80,318.667
280,320.0004
120,320.6671
360,321.6671
80,322.0004
320,331.6674
160,331.6674
360,335.6675
240,337.3342
200,340.001
240,352.668
240,358.6682
120,361.335
400,366.0018
440,368.0018
480,374.6687
120,376.6688
280,379.0022
200,381.0022
280,385.669
240,392.0026
280,395.0027
360,397.3361
160,410.3365
280,412.3365
120,421.6701
160,425.0036
400,426.0036
160,434.3372
160,436.0039
280,436.6706
160,440.3374
320,455.0045
120,455.3378
200,459.338
160,468.6716
160,471.6717
200,472.3383
320,477.0052
440,481.672
200,487.0055
360,488.3388
360,490.3389
240,490.3389
400,496.3391
200,501.6726
400,502.6726
200,510.6729
240,528.0052
280,529.0052
520,542.3377
200,543.671
320,544.3376
280,544.6709
240,546.3375
320,548.3373
320,555.0036
560,555.0036
160,556.3369
160,565.003
200,567.6695
200,570.336
600,571.3359
640,574.0024
440,579.6688
440,580.6687
480,583.6685
280,585.0018
280,585.3351
320,588.3349
320,590.6681
680,596.6677
360,598.001
360,604.3339
320,607.0004
720,607.0004
240,615.3333
480,617.3331
480,621.3329
240,627.3325
240,629.3324
240,635.332
240,641.665
520,644.9981
280,646.3314
200,651.6644
280,656.3307
760,657.664
280,664.6636
400,666.9968
400,674.9963
320,676.9962
520,677.9961
440,679.6627
360,679.996
320,682.9958
360,685.329
360,685.6623
400,688.9954
360,689.662
400,692.3286
280,693.3285
240,693.9951
320,705.9944
280,706.3277
400,707.6609
480,715.3271
320,720.3268
440,720.9935
440,722.9933
520,723.66
440,724.6599
360,727.3264
360,730.6595
360,731.6595
360,735.6592
320,740.9922
240,753.3248
560,756.3246
480,756.3246
560,758.3245
800,761.3243
600,761.6577
560,762.3243
280,762.9909
480,769.3239
600,770.9904
400,774.9902
360,777.6567
520,786.9894
320,787.9894
560,790.9892
600,793.6557
640,794.989
400,797.3221
280,798.9887
840,806.6549
440,808.6548
440,810.6547
480,824.6538
400,824.6538
440,827.9869
400,833.3199
520,833.3199
480,833.9866
680,844.9859
520,847.6524
440,851.6522
640,853.652
560,856.3185
640,860.3183
440,860.6516
520,862.3182
520,862.9848
480,863.6514
560,864.9847
600,869.3177
680,871.9843
880,875.984
520,876.6506
560,880.6504
720,881.9836
640,885.3168
320,891.3164
600,892.3163
360,894.6495
480,896.6494
400,908.982
720,912.3151
760,914.315
320,915.9816
600,919.3147
680,919.648
280,919.9813
640,921.9812
720,922.9811
480,930.314
400,932.9805
320,933.9805
920,936.9803
400,951.9794
520,956.3124
440,961.3121
360,962.6454
760,968.9783
480,969.645
600,971.3115
360,972.3115
800,974.3113
840,978.9777
640,983.3108
680,988.9771
400,991.6436
560,994.6434
720,997.9766
560,999.3098
680,1003.643
520,1008.643
520,1008.976
560,1010.642
760,1010.976
560,1011.642
880,1013.309
600,1014.309
440,1015.975
440,1015.975
480,1022.308
760,1022.642
640,1025.975
680,1028.642
400,1031.309
920,1035.976
600,1037.31
560,1042.977
800,1047.978
800,1048.645
60
