Damage,Time
40,1.458954
40,1.998839
80,3.659398
120,3.779274
80,4.53616
160,5.798822
120,6.958988
160,6.975768
200,7.016611
240,7.039403
200,8.837203
280,9.419412
320,9.438848
360,9.499853
240,10.59602
280,13.81946
400,13.99859
440,14.03693
320,15.57803
480,16.25929
520,16.27776
560,16.29721
600,16.3193
640,18.53772
680,18.67862
720,21.49635
760,21.63978
800,21.71819
360,23.35442
400,25.03953
440,25.09922
480,25.1576
520,25.25652
560,27.07881
600,27.09837
840,28.95851
880,28.99612
640,29.12923
680,30.87671
920,31.439
960,31.49661
720,32.49783
760,34.11995
1000,34.43888
1040,34.49807
800,36.61974
840,38.29888
880,39.89931
920,41.63984
1080,41.81721
1120,41.87857
1160,44.09972
960,44.77727
1000,44.89939
1040,46.55706
1080,46.6575
1120,48.15789
1200,48.17968
1240,48.19828
1160,48.27705
1200,49.77702
1240,49.93306
1280,51.92006
1320,53.51649
1280,53.57816
1320,53.75678
1360,55.11825
1360,55.9781
1400,57.0783
1440,59.29651
1480,59.37973
1400,61.278
1440,61.33772
1480,61.35783
1520,61.47979
1560,63.69748
1520,65.7766
1560,65.87977
1600,66.3399
1640,68.2603
1680,69.85161
1720,69.91924
1600,72.23634
1640,72.27709
1760,73.19671
1800,73.2979
1680,74.93911
1840,77.9985
1720,78.93977
1880,80.29734
1760,81.53788
1920,81.91885
1800,84.46042
1840,86.73729
1960,87.45931
2000,89.49733
1880,89.6991
2040,91.17109
2080,92.7997
2120,92.87782
1920,93.75571
1960,93.8363
2000,93.89676
2160,95.78005
2040,96.53908
2080,96.67773
2120,98.15811
2160,98.29822
2200,98.47832
2240,101.378
2280,101.4393
2200,102.7385
2240,102.7789
2320,103.359
2360,103.4192
2400,105.1189
2440,105.1965
2280,106.3731
2320,109.6397
2360,109.7402
2400,111.919
2440,112.0201
2480,112.3187
2520,112.3804
2560,114.3185
2600,114.4404
2640,115.9986
2680,117.5588
2480,118.9797
2720,119.5383
2760,119.6389
2800,121.2388
2520,121.2388
2840,121.298
2560,122.8396
2880,123.377
2920,124.9575
2600,125.6335
2960,128.3593
2640,128.4179
2680,128.4
