Damage,Time
40,2.439992
80,5.358486
120,7.255197
160,27.79759
200,29.6579
240,31.27895
280,44.13734
320,47.09973
360,48.67049
400,53.75983
440,55.43922
480,56.97855
520,62.29659
560,64.49807
600,66.61917
640,74.17727
680,77.1582
720,78.77916
760,83.79806
800,87.09748
840,89.13873
880,95.67798
920,97.8385
960,102.4184
1000,108.0189
1040,110.6594
1080,112.4187
1120,115.3979
1160,116.9978
1200,118.6394
1240,124.8793
1280,126.5571
1320,128.9368
1360,133.7558
1400,135.4563
1440,137.0524
1480,157.2985
1520,159.3388
1560,161.1992
1600,170.8979
1640,172.7785
1680,174.4383
1720,182.1982
1760,185.2994
1800,187.039
1840,192.0393
1880,194.3384
1920,196.3585
1960,201.0385
2000,202.7981
2040,204.3992
2080,211.1194
2120,212.8978
2160,214.5298
2200,224.3184
2240,226.3581
2280,228.5779
2320,238.3178
2360,240.0784
2400,242.3978
2440,262.9579
2480,266.319
2520,269.2767
2560,274.4371
2600,276.0779
2640,277.917
2680,281.5756
2720,283.519
2760,285.0988
2800,292.278
2840,293.8187
2880,295.977
2920,304.4789
2960,306.0792
3000,308.7577
3040,313.3386
3080,316.2991
3120,318.679
3160,323.4001
3200,324.9995
3240,327.6599
3280,331.1799
3320,332.8391
3360,335.3801
3400,342.3591
3440,344.6198
3480,346.8407
3520,352.5195
3560,354.6001
3600,356.2791
3640,362.6389
3680,365.1403
3720,367.0894
3760,372.579
3800,374.2178
3840,375.7997
3880,381.8985
3920,384.0373
3960,389.8605
4000,394.3786
4040,396.1004
4080,397.6995
4120,402.9197
4160,404.6604
4200,406.8197
4240,412.1869
4280,413.7386
4320,415.9363
4360,425.6392
4400,427.3983
4440,429.0789
4480,437.5002
4520,439.1012
4560,440.701
4600,449.8591
4640,452.6381
4680,456.4407
4720,461.1202
4760,463.2983
4800,464.8793
4840,514.32
4880,516.2198
4920,519.5379
4960,523.4783
5000,525.3392
5040,527.1788
5080,536.5819
5120,539.9389
5160,542.9208
5200,550.262
5240,551.8801
5280,553.5226
5320,558.9162
5360,561.0214
5400,563.1411
5440,568.0624
5480,569.7829
5520,571.5226
5560,5
