Damage,Time
40,4.666667
80,11.33333
120,35.33334
40,46.66663
40,47.66663
80,52.33328
40,56.99993
120,57.99992
40,71.33329
40,72.3333
80,79.66669
80,109.0002
160,117.667
80,130.0004
120,145.3335
40,176.9996
160,196.9993
40,218.999
40,223.3323
80,233.3321
40,248.6652
80,278.6658
80,292.6662
80,300.9998
40,321.6671
200,325.3339
80,335.6675
80,338.0009
120,345.3345
200,355.0014
240,356.3348
120,381.3356
160,386.6691
240,411.3365
280,421.0034
320,423.6702
120,434.3372
360,456.3379
120,457.0045
120,482.672
280,516.6726
120,524.3388
400,547.6707
160,550.3372
320,559.3367
440,563.0031
120,580.6687
200,617.6664
360,630.6656
200,645.998
400,647.6646
240,677.3295
280,696.6616
120,697.9949
320,708.9942
40,715.9938
440,747.3252
160,752.9915
360,768.3239
40,772.3237
480,793.6557
160,803.3218
200,830.9868
400,835.6531
80,861.9849
160,904.9822
120,909.9819
240,937.6469
200,941.3134
440,952.9793
480,973.3114
160,984.644
480,990.3104
160,1004.976
520,1029.309
560,1041.31
600,1043.977
280,1074.314
160,1107.985
200,1119.653
240,1129.655
320,1139.989
360,1142.656
200,1190.662
640,1225.333
680,1244.335
200,1250.336
520,1257.337
520,1259.67
280,1284.34
240,1291.008
400,1312.01
320,1328.012
280,1330.012
360,1330.679
720,1357.016
400,1365.683
440,1371.351
440,1381.019
480,1388.686
40,1389.02
480,1392.353
520,1395.354
560,1397.354
600,1407.355
760,1440.359
240,1452.361
240,1455.361
800,1464.362
320,1467.029
240,1475.697
280,1478.364
360,1487.031
400,1489.032
840,1609.38
560,1619.048
520,1640.717
560,1642.717
640,1652.385
880,1653.052
920,1662.386
600,1669.387
600,1669.387
640,1671.387
680,1679.722
680,1683.055
280,1687.389
280,1703.391
720,1712.059
640,1713.726
320,1722.727
560,1725.394
760,1734.062
960,1738.729
680,1739.396
360,1745.063
800,1748.397
720,1762.732
1000,1776.4
1040,1779.067
840,1779.067
320,1796.069
400,1799.403
440,1818.405
1080,1818.739
720,1820.072
480,1821.072
880,1823.073
