Damage,Time
40,3.35895
80,5.1372
120,7.159098
160,12.81736
200,15.03899
240,17.09806
280,18.65773
320,21.79695
360,23.47949
400,25.05888
440,26.93703
480,30.21948
520,32.05803
560,33.69728
600,35.29932
640,37.03914
680,38.65741
720,40.35762
760,41.87937
800,44.67981
840,46.27962
880,47.89667
920,49.47984
960,53.19746
1000,54.79768
1040,56.69939
1080,58.39854
1120,60.55891
1160,62.37913
1200,66.07732
1240,67.67739
1280,72.43832
1320,75.2976
1360,77.11785
1400,78.75775
1440,87.19898
1480,89.19985
1520,91.07894
1560,92.6771
1600,95.13956
1640,96.97942
1680,98.6193
1720,104.8969
1760,106.9169
1800,108.638
1840,110.2779
1880,113.7185
1920,115.4982
1960,117.1776
2000,118.8573
2040,122.2378
2080,124.1774
2120,126.698
2160,128.6198
2200,147.0795
2240,148.679
2280,150.2589
2320,151.9796
2360,159.5396
2400,161.2599
2440,163.0192
2480,164.6996
2520,169.3802
2560,171.0001
2600,173.3206
2640,175.1997
2680,176.9795
2720,178.5584
2760,180.02
2800,181.6589
