KillCounter,KillTime
0,0
1,0.02
2,0.02
3,0.1
4,0.0861269
5,7.128218
6,4.939739
7,1.602207
8,6.608827
9,3.030399
10,1.559803
11,0.08028739
12,4.419377
13,2.90222
14,2.976767
15,4.519029
16,0.06511641
17,6.076685
18,9.580182
19,1.581853
20,6.137034
21,10.96249
22,5.61981
23,4.109933
24,13.17143
25,1.536731
26,8.541479
27,0.1205534
28,1.319503
29,5.179816
30,1.450953
31,6.148595
32,0.003624
33,0.1406897
34,7.379108
35,3.51894
36,1.638193
37,5.280096
38,1.646444
39,4.312618
40,0.0620601
41,6.29996
42,12.97911
43,8.562681
44,0.7376974
45,11.7403
46,0.0173495
47,1.421127
48,8.86953
49,5.148717
50,0.1018397
51,7.832852
52,4.349865
53,0.7241795
54,1.254839
55,9.277405
56,0.0413998
57,6.319447
58,4.580065
59,1.508858
60,3.633226
61,0.0395036
62,0.2027692
63,6.4741
64,1.421717
65,1.86428
66,6.636138
67,8.538275
68,6.959786
69,3.763147
70,3.529606
71,1.231213
72,6.356783
73,0.745506
74,3.440587
75,2.174502
76,12.96201
77,0.0641119
78,4.434331
